id,uid,name,bio,time_period,birthplace
1,1,Nāthamuni,,823 CE – 918 CE,Veera Nāraṇyapuram (Kāṭṭu Mannārkōyil)
2,2,Uyyakkoṇḍār (Pundarīkākṣa),,9th – 10th century CE,Tiruvellarai
3,3,Maṇakkāl Nambi (Rāmamiśra),,870 CE – 950 CE,Maṇakkāl
4,4,Āḷavandār (Yāmunācārya),,918 CE – 1038 CE,Kāṭṭu Mannārkōyil
5,5,Periya Nambi (Mahāpūrṇa),,970 CE – 1050 CE,Śrīraṅgam
6,6,Tirukkōṣṭiyūr Nambi,,970 CE – 1060 CE,Tirukkōṣṭiyūr
7,7,Tirumalai Āṇḍān,,970 CE – 1060 CE,Tirupati
8,8,Tirumalai Nambi,,970 CE – 1060 CE,Tirumala
9,9,Rāmānuja,,1017 CE – 1137 CE,Śrīperumbūdūr
10,10,Kūrattāḻvān,,1010 CE – 1117 CE,Kuram
11,11,Mudaliyāṇḍān,,1024 CE – 1124 CE,Śrīraṅgam
12,12,Piḷḷān (Kūrēśa’s son),,1075 CE – 1167 CE,Śrīraṅgam
13,13,Nāñjīyar,,1112 CE – 1208 CE,Tirunārāyaṇapuram (Melkote)
14,14,Nampiḷḷai,,1207 CE – 1293 CE,Śrīraṅgam
15,15,Periyavāccān Piḷḷai,,1228 CE – 1312 CE,Śrīraṅgam
16,16,Vadakku Tiruvīḍhi Piḷḷai,,1247 CE – 1327 CE,Śrīraṅgam
17,17,Piḷḷai Lōkācārya,,1205 CE – 1311 CE,Śrīraṅgam
18,18,Āḻagiya Maṇavāḷa Perumāḷ Nāyaṉār,,1213 CE – 1287 CE,Śrīraṅgam
19,19,Vedānta Deśika,,1268 CE – 1369 CE,Tooppul (Kāñcīpuram)
20,20,Maṇavāḷa Māmuṉigaḷ,,1370 CE – 1443 CE,Āḻvār Tirunagari
21,21,Ādivaṇ Śaṭakōpa Jeer,,1379 CE – 1458 CE,Āḻvār Tirunagari
