id,name,place,state,info,uid,coordinates
1,Śrī Raṅganātha,Śrīraṅgam,Tamil Nadu,"Śrīraṅgam, hailed as the foremost among the Divya Deśams, is celebrated as the Bhū-loka Vaikuṇṭha. The temple’s presiding deity, Śrī Raṅganātha, reclining gracefully upon Ādiśeṣa in yoga-nidrā, is said to have been worshiped first by Brahmā himself. According to the Purāṇas, this arcā-mūrti was gifted by Śrī Rāma to Vibhīṣaṇa after the victory over Rāvaṇa. As Vibhīṣaṇa carried the deity back to Laṅkā, the Lord desired to stay on the banks of the Kāverī. Thus, Śrīraṅgam became His eternal abode, ensuring that His grace would forever flow for devotees in Bhārata.

The temple complex is the largest functioning Hindu temple in the world, enclosed by seven concentric prākāras. Each enclosure represents one of the seven spiritual sheaths to be crossed before reaching the divine presence. The Rāja-gopura, rising majestically, symbolizes liberation and spiritual ascent. Śrīraṅgam is not merely a temple but a living embodiment of the Āḻvārs’ hymns, Vedic rituals, and the eternal flow of the Kāverī surrounding the temple like the celestial river Virajā.

Eleven Āḻvārs have sung of Śrīraṅgam, pouring their hearts in ecstatic devotion. Nammāḻvār hails it as the dwelling of the Lord who grants liberation; Āṇḍāl imagines herself worshiping here during the Mārgaḻi festival; Thirumaṅgai Āḻvār extols the temple in magnificent detail, describing the Lord as the ocean of mercy resting in yoga-nidrā. For the Āḻvārs, Śrīraṅgam was not a geographical location but the very threshold of Vaikuṇṭha, where the Lord becomes accessible to mortals.

Śrīraṅgam stands as the spiritual capital of the Śrīvaiṣṇava sampradāya. Śrī Rāmānuja resided here, systematized the temple rituals, and ultimately attained eternal rest at this kṣetra, his tanu āśraya still preserved and worshiped by devotees. Ācāryas such as Vedānta Deśika and Maṇavāḷa Māmunigaḷ enriched the temple’s traditions. The temple thus bridges Purāṇic antiquity with the living stream of Vaiṣṇava theology, making it both a place of divine descent and doctrinal ascent.

The temple is renowned for the Vaikuṇṭha Ekādaśī festival, where the Paramapada Vāsal (gateway to liberation) is opened, symbolizing entry into Vaikuṇṭha. Daily rituals blend Vedic chant, Divya Prabandham recitation, and elaborate offerings. The deity’s seva includes the reclining form (bhoga-sayanam), morning utsava processions, and seasonal utsavams. Śrīraṅgam’s prasāda, especially the famed akkāravadisal (sweet rice), is praised even in Āṇḍāl’s Tiruppāvai.

Śrīraṅgam epitomizes the fusion of Paratva (the Lord’s transcendence) and Saulabhya (His accessibility). The reclining Lord represents His cosmic sovereignty, while His presence in the temple reflects His condescension to dwell among devotees. The temple is thus the very heart of Viśiṣṭādvaita Vedānta, embodying the eternal truth that liberation is through surrender at the Lord’s feet. For centuries, devotees have approached Śrīraṅgam not as visitors but as pilgrims entering the spiritual axis of the universe.",1,"10.86246411021867, 78.68994732883648"
2,Śrīnivāsa,Tirumalai,Andra Pradesh,,2,"13.683273815601511, 79.34728486517302"
76,Aḻagiya Maṇavāḷa Perumāḷ,Tirukkozhi (Uraiyūr),Tamil Nadu,,3,"10.827491907144438, 78.67356128065141"
77,Puruṣottama Perumāḷ,Tirukkarambanūr,Tamil Nadu,,4,"10.877388319077902, 78.70310553899665"
78,Puṇḍarīkākṣa Perumāḷ,Tiruvellarai,Tamil Nadu,,5,"10.956806420758083, 78.66753201016071"
79,Vaḍivazhagiya Nambi Perumāḷ,Tiruanbil,Tamil Nadu,,6,"10.868008845194185, 78.88214946783309"
80,Appakkudathān Perumāḷ,Tirupper Nagar,Tamil Nadu,,7,"10.839583092444467, 78.88910382902402"
81,Nīlamegha Perumāḷ,Tiruttañjaimāmaṇi Koil,Tamil Nadu,,8,"10.817972353407496, 79.13618722503269"
82,Hara Śāpa Vimocana Perumāḷ,Tirukkaṇḍiyūr,Tamil Nadu,,9,"10.861022764641001, 79.10874278018234"
83,Jagadrakṣaka (Āḍuturai) Perumāḷ,Tirukkūḍalūr,Tamil Nadu,,10,"10.940269372366862, 79.20053981137302"
